id,keyword,location,text
1,,,"syllabus – csce 120/121 – spring 2022 course information course number: csce 12 0/121 course title: [introduction to] program design and concepts sections instructor cla ss time location 588-590 & 594- 599 moore asynchronous online 591-593 ritchey mondays, wednesdays, fridays 10:20 am – 11:10 am online 510-517 taele mondays, wednesdays, fridays 8:00 am – 8:50 am (510- 513) 9:10 am – 10:00 am (514- 517) zach 310 503-509 taylor mondays, wednesdays, fridays 9:10 am – 10:00 am (503- 505) 10:20 am – 11:10 am (506- 509) zach 350 credit hours: • csce 120: 3 • csce 121: 4 instructor details • michael moore (he/him) o sections: 588- 590 & 594- 599 o office: petr 322 o phone: 979- 845 -5472 o e-mail: jmichael@cse.tamu.ed"
2,,,o office hours:  indicate when you can attend office hours (for dr
3,,,moore’s sections only)  make an appointment with michael moore • automated system that will make an appointment and automatically add it to my calendar
4,,,o limit yourself to one debugging appointment per week
5,,,o other meetings types are not for debugging
6,,,o • philip ritchey o sections: 591- 593 o office: tbd o phone: tbd o e-mail: pcr@tamu.ed
7,,,o office hours: tbd 2 of 13 • paul taele o sections: 510- 517 o office: petr 320 o phone: 979- 845 -7977 o e-mail: ptaele@tamu.ed
8,,,o office hours:  days: tuesdays and thursdays  times: 5:30 pm – 7:30 pm  room: tbd • brennen taylor o sections: 503- 509 o office: petr 40 2 o phone: n/a o e-mail: brtaylor1001 @t am u
9,,,"e du o office hours: tbd course description • csce 120: extend prior programming knowledge to create computer programs that solve problems; use the c++ language; apply computational thinking to enhance problem solving; analyze, design and implement computer programs; use basic and aggregate data types to develop functional and object -oriented solutions; develop classes that use dynamic memory and avoid memory leaks; learn error handling strategies to develop more secure and robust prog rams"
10,,,"• csce 121: computation to enhance problem solving abilities; computational thinking; understanding how people communicate with computers, how computing affects society; design and implementation of algorithms; data types, program control, iteration, functions, classes, and exceptions; understanding abstraction, modularity, code reuse, debugging, maintenance, and other aspects of software development; development and execution of programs"
11,,,"course prerequisites • csce 120: grade of c or better in e ngr 102 , csce 110 , csce 111 , or csce 206 , or equivalent"
