id,keyword,location,text
1,,,syllabus csce 312-201h/500-503 computer organization spring 2022 (all course materials are on canvas) instructor eun jung (ej) kim email: ejkim at cse.tamu.ed
2,,,tel: 979-845-3660 office: h
3,,,r
4,,,bright building (hrbb) 338b office hours: zoom link on canvas teaching assistant sunyoung kim email: spark8433@tamu.ed
5,,,grader kathy pai email: jp53456@tamu.ed
6,,,lectures csce312: tr 11:10-12:25 124 h.r
7,,,bright bd
8,,,1 course information 1.
9,,,course description csce 312 is an introductory course on computer organization
10,,,it provides insights into the fundamentals of organization and structure of computer systems
11,,,"one of the objectives of this course is to teach critical thinking, how to learn, and how to communicate technical concepts in the area of computer systems"
12,,,"these objectives will be met through lectures, challenging assignments, regular quizzes, and a final examination"
13,,,"the course consists of materials on the following topics: introduction to computer systems, data representation, machine language, processor architecture, memory hierarchy, linking, exception control flow, virtual memory, system level i/o, and network programming"
14,,,several laboratory assignments will provide hands-on experience on some of the above topics
15,,,projects allow students to implement material taught in the lectures and laboratory
16,,,1.
17,,,"catalog description introduction to computer systems from programmer’s perspective: simple logic design, data representation and processor architecture, programming of processors, memory, control flow, input/output, and performance measurements; hands-on lab assignments"
18,,,1.
19,,,co-requisites csce 221 data structures and algorithms
20,,,"you should have a clear understanding of data structures, including list, stacks, and queues"
21,,,your familiarity with recursion and exposure to complexity analysis are desirable
22,,,lab assignments will require basic computer skills in implementing the above topics
23,,,1.
24,,,"textbook • primary textbook: computer systems: a programmer’s perspective, randal e"
25,,,"bryant and david o’hallaron, 3rd ed, prentice hall, 2015, isbn 10:0-13-409266-x companion site: http://csapp.cs.cmu.edu"
26,,,"• text for logic design: digital design, 2nd ed, by frank vahid, wiley publication, 2010 second edition companion site: http://bcs.wiley.com/he-bcs/books?action=index&itemid=0470531088&bcsid=556"
27,,,"• optional reference: the c programming language, 2nd ed"
28,,,"(ansi c version) or later, kernighan & ritchie, prentice hall, will be helpful in learning the operating system and programming environment"
29,,,"2 course topics, quizzes and assignments students are required to read the main textbook and other assigned materials as announced time to time"
30,,,it is highly recommended to be familiar with the material ahead of the corresponding lecture
31,,,"this course will focus on the topics shown below, which may not be covered in this order, or at all, if time does not permit it"
32,,,the length of time to cover a topic and the corresponding assignment dates may vary
33,,,course topics and corresponding textbook chapters week topics reading materials chapter numbers milestones 1-2 computer systems bryant ch
34,,,"1 2-5 data representation, arithmetic, logic design vahid ch.1-"
35,,,"q1, hw1, hw2 5-7 machine language bryant ch"
36,,,"3 q2, hw3 7-10 processor architecture bryant ch"
37,,,"4 q3, hw4, project1 10-12 memory hierarchy bryant ch"
38,,,"6 q4, hw5 12-13 virtual memory bryant ch 10 q5 14 system level i/o bryant ch 10 project2 15 review final exam 3 grading scheme and course requirements 3."
39,,,attendance policy class attendance is strongly recommended
40,,,students are responsible for any material missed
41,,,some material covered in the lectures may not be found in the textbook or the slides
42,,,"missed exams, quizzes and class presentations may be made up only for a university-excused absence"
43,,,other special situations must be discussed with the instructor in advance of the exam
44,,,3.
45,,,"grading the course consists of lectures, quizzes, homeworks, lab assignments, projects and final examination"
