id,keyword,location,text
1,,,"texas a&m university department of computer science and engineering spring 2022 csc e 482 – 931: senior capstone design mw 08:00am - 08:25am eaba 118 (lecture) mw 08:30am - 11:00am eaba 118 (lab) _____ ______________________________________________________________________ instructor : aaron angert , adangert @tamu.ed"
2,,,", tas: yingtao jiang : entao@tamu.ed"
3,,,website : google classroom class code: okzgrju zoom link (for presentations only) : https://tamu.z
4,,,om.us/j/237184966
5,,,"___________________________________________________________________________ catalog d escription csce 482 : engineering design; working as a design -team member, conceptual design methodology, design evaluations, total project planning an d management techniques, design optimization, systems manufacturing costs considerations; emphasis placed upon student's activities as design professionals"
6,,,"course prerequisites csce 482: (csce 315 or csce 331) and csce 411 and, senior classification textbook and references required • the five dysfunctions of a team: a leadership fable by patrick m"
7,,,"lencioni (jossey -bass, 2002) recommended • design for electrical and computer engineers , by ralph ford and chris coulston (mcgraw -hill science, 2007)"
8,,,"• fundamentals of engineering design , 2nd ed."
9,,,"by barry hyman (prentice hall, 2003)"
10,,,"• the wisdom of teams: creating the high -performance organization , by jon r"
11,,,katzenbach and douglas k
12,,,"smith, collins (2003)"
13,,,available on -line at tamu libraries
14,,,"supplementa l • technical material from the literature, manufacturer’s datasheets and user manuals"
15,,,detailed course description cpsc 48 2 is a project -oriented course aimed at developing system integration skills
16,,,students work in groups of 3-5 people to complete a significant engineering design project
17,,,"every project requires complete implementation, documentation and demonstration of a computing system design with both hardware and software components"
18,,,"the focus is not only on the final product but also on desig n methodology, management process and teamwork"
19,,,each team will be required to manage its own efforts to complete its proje ct in a timely manner
20,,,group members will be required to keep individual lab notebooks recording their efforts and their personal impressions of the project
21,,,students will be graded based on both the quality of the group product and their individual contri butions
22,,,"every team will be required to schedule a weekly meeting with the course instructor and the tas, preferably during the off icial class or lab hours"
23,,,these meetings must be attended by every group member
24,,,"since the projects will be student managed , the exact nature and style of these meetings is at the group’s discretion"
25,,,"however, every member of the group is expected to partic ipate "
26,,,"at the end of the semester, each group will make a public presentation describing and demonstrating their work"
27,,,the se presentations will be open to the university community
28,,,course objectives to prepare students for engineering practice with a major design experience based on the knowledge and skills acquired in earlier course work and incorporating en gineering standards and realistic constraints that include most of the following considerations: economic; environmental; sustainability; manufac turability; ethical; health and safety; social; and political
29,,,expected outcomes it is expected that successful participation in the course will allow the student to demonstrate: • analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions
30,,,"• design, implement, and evaluate a com puting -based solution to meet a given set of computing requirements in the context of the program’s discipline"
31,,,• communicate effectively in a variety of professional contexts
32,,,• recognize professional responsibilities and make informed judgments in computing practice based on legal and ethical principles
33,,,• function effectively as a member or leader of a team engaged in activities appropriate to the program’s discipline
34,,,1
35,,,apply computer science theory and software development fundamentals to produce computing -based solutions
36,,,grading policy the final grade you will receive in the class will be based on points accumulated during the semester
37,,,"thus, both continued progress (the process) and the quality of your product (and other deliverables) will determine your grade"
